,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,268,92,120,175,159,73,133,106
1,264,103,124,175,160,71,133,106
2,266,90,117,179,159,72,132,106
3,263,91,119,179,160,80,136,108
4,266,87,116,178,159,72,133,104
5,264,103,117,183,160,79,131,106
6,267,87,118,176,159,72,133,108
7,266,87,117,179,160,79,130,106
8,266,77,117,178,164,73,135,103
9,266,87,121,179,160,73,132,105
10,270,87,116,179,160,73,133,105
11,263,92,115,175,159,73,134,106
12,263,90,120,175,159,71,131,103
13,263,89,118,180,160,71,131,105
14,263,96,117,179,161,73,134,108
15,266,87,117,175,159,72,136,105
16,263,76,119,180,159,73,132,112
17,263,89,124,177,160,71,133,106
18,265,100,118,178,160,76,140,108
19,268,93,119,180,159,72,140,109
20,263,92,117,179,159,73,132,108
21,268,89,118,180,160,73,133,105
22,259,94,119,178,160,76,136,105
23,260,86,115,175,159,73,133,106
24,264,90,115,175,159,74,134,106
25,263,86,117,179,160,73,131,106
26,266,86,118,184,160,74,136,106
27,265,88,120,177,160,71,131,103
28,266,89,119,178,160,76,131,103
29,266,86,118,177,157,71,133,106
30,266,99,118,184,161,72,131,105
31,266,88,118,180,159,73,136,105
32,267,96,118,177,160,71,131,105
33,266,101,118,175,159,73,134,106
34,266,92,117,179,159,73,133,106
35,263,87,118,177,159,73,131,103
36,263,104,119,179,164,71,133,104
37,265,87,115,175,159,73,133,106
38,268,91,119,178,160,71,133,106
39,265,100,119,179,161,73,133,106
40,266,75,118,184,161,73,131,103
41,263,88,118,178,160,72,136,108
42,265,92,115,179,159,73,133,106
43,265,83,117,178,159,72,136,105
44,267,104,118,178,160,71,133,106
45,263,87,121,175,159,73,133,106
46,263,89,118,178,160,73,136,103
47,267,100,115,175,159,73,133,106
48,266,85,118,178,160,80,136,105
49,263,93,118,178,159,73,133,106
50,263,88,119,178,160,76,131,103
51,268,87,120,177,159,73,133,108
52,263,96,119,178,160,78,136,105
53,268,90,115,179,159,72,132,104
54,272,91,118,178,161,72,136,112
55,268,97,118,184,159,72,136,103
56,263,83,120,175,159,73,136,108
57,265,93,115,175,159,74,132,106
58,265,92,117,178,160,71,133,112
59,268,94,115,178,159,73,134,106
60,263,89,124,175,159,73,132,112
61,263,89,117,175,159,72,131,106
62,265,87,117,177,159,73,133,106
63,263,96,118,178,164,76,136,105
64,268,90,117,178,160,80,136,103
65,268,87,124,175,159,73,132,108
66,268,89,117,175,159,73,133,106
67,263,88,118,184,160,71,133,106
68,269,90,120,177,159,71,133,106
69,265,88,118,179,159,74,134,106
70,263,90,115,175,159,72,140,108
71,269,100,117,175,159,73,133,106
72,276,87,120,180,159,71,132,106
73,269,88,117,178,160,71,132,103
74,272,97,118,178,160,71,131,103
75,276,90,117,175,159,73,133,106
76,269,85,118,178,159,73,133,106
77,263,87,118,180,160,74,136,105
78,265,78,120,177,160,76,136,103
79,265,99,120,176,160,71,131,103
80,270,89,117,178,164,71,133,106
81,270,80,115,178,159,72,132,104
82,271,92,118,178,160,72,140,112
83,271,87,118,178,160,72,132,109
84,270,76,118,178,160,72,132,112
85,269,95,119,180,160,71,131,103
86,270,89,120,177,160,71,133,106
87,271,83,116,180,160,71,131,103
88,267,87,118,175,160,73,133,108
89,271,90,120,175,159,73,133,106
90,267,85,118,177,159,74,133,106
91,272,76,118,178,160,71,131,103
92,276,90,118,180,160,71,133,103
93,272,87,118,178,160,81,136,105
