,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,262,69,128,190,200,75,144,126
1,263,72,132,190,190,74,142,132
2,259,89,127,187,190,75,142,126
3,259,90,126,190,187,73,140,126
4,268,111,125,187,191,74,141,123
5,260,91,126,187,191,81,144,127
6,260,111,124,190,193,72,141,126
7,259,93,129,188,192,75,147,124
8,266,72,126,184,193,77,139,132
9,263,88,127,188,188,73,139,125
10,267,103,130,188,187,74,139,125
11,263,89,129,185,191,75,141,126
12,263,65,127,190,194,75,141,132
13,262,95,125,191,192,75,140,125
14,256,98,127,196,192,74,137,123
15,270,95,124,185,191,75,141,127
16,263,88,126,189,190,75,142,124
17,256,72,133,188,187,75,141,132
18,260,95,127,185,191,75,141,127
19,266,111,126,184,192,75,141,132
20,256,89,127,190,193,75,140,124
21,260,91,127,190,192,75,141,134
22,265,90,127,190,198,81,143,124
23,256,97,127,189,194,72,137,123
24,256,89,124,187,191,75,141,126
25,259,115,125,190,195,74,139,126
26,262,91,133,188,192,75,143,156
27,268,95,125,190,188,75,143,126
28,259,72,127,190,197,78,140,122
29,262,89,131,185,191,75,141,130
30,263,92,126,185,192,75,141,126
31,264,91,127,184,191,75,143,125
32,257,69,127,190,198,77,140,124
33,263,91,129,188,188,73,138,123
34,268,89,127,190,199,78,142,126
35,260,108,131,185,191,75,143,122
36,263,90,127,190,188,72,137,123
37,265,88,127,189,191,75,148,127
38,266,94,130,188,188,72,137,123
39,263,68,128,190,196,76,140,123
40,263,88,127,190,196,74,139,129
41,262,86,125,189,191,75,149,130
42,266,87,126,185,191,75,145,124
43,260,91,127,194,192,74,140,124
44,260,110,129,188,189,75,141,126
45,263,93,130,185,191,75,144,124
46,259,92,127,187,191,76,140,123
47,257,88,127,190,196,76,140,123
48,269,75,132,191,191,74,140,124
49,271,75,127,193,190,72,138,123
50,263,88,127,193,193,74,140,123
51,256,88,126,185,192,75,139,125
52,257,91,128,187,191,78,136,125
53,262,99,134,188,187,74,144,125
54,270,104,127,190,191,75,140,123
55,260,90,126,187,191,75,141,131
56,262,99,124,191,191,74,137,125
57,263,89,127,188,189,75,146,124
58,269,91,124,190,187,75,147,124
59,257,92,125,187,191,75,141,126
60,257,88,129,190,188,75,141,126
61,265,88,134,188,191,81,140,123
62,257,88,126,190,191,75,137,125
63,262,98,131,185,191,81,139,126
64,260,88,127,190,195,76,137,123
65,263,82,125,190,200,79,142,125
66,264,67,126,187,191,75,146,126
67,263,84,127,189,191,78,145,127
68,260,71,127,191,190,74,137,123
69,257,85,127,185,191,76,141,122
70,265,80,127,197,192,74,138,123
71,257,74,127,194,188,73,139,126
72,262,91,124,190,191,73,141,130
73,262,90,124,187,191,83,148,130
74,260,94,124,185,187,75,141,125
75,256,88,129,185,191,82,145,125
76,260,89,126,190,192,81,137,125
77,267,88,127,185,191,73,140,123
78,265,91,127,190,193,74,140,122
79,263,96,125,198,190,81,136,123
80,259,108,125,190,196,77,140,124
81,262,111,124,187,191,76,146,126
82,267,114,125,190,190,74,141,127
83,262,105,128,188,187,75,140,122
84,260,97,130,189,193,79,141,123
85,256,91,132,191,190,72,137,123
86,263,90,129,188,186,75,141,127
87,259,89,127,189,189,75,151,125
88,257,90,133,185,195,75,141,126
89,263,88,127,199,187,75,146,127
90,263,74,124,187,191,81,140,123
91,264,94,125,189,194,72,137,123
92,265,90,131,187,191,81,141,122
93,263,92,126,189,196,75,140,122
94,264,89,127,190,190,73,139,125
95,257,92,124,187,187,72,141,122
96,269,111,132,190,190,73,139,123
97,256,94,126,187,192,75,141,126
98,262,90,127,195,190,73,139,125
99,263,89,124,190,190,75,138,123
100,262,75,127,188,187,75,141,131
101,261,66,127,190,187,81,139,126
102,262,106,127,192,187,78,141,128
103,262,111,127,196,191,84,141,126
104,260,92,128,190,187,75,139,126
105,263,98,125,192,188,80,139,126
106,262,100,127,187,192,80,140,126
107,262,89,128,192,190,75,144,126
108,262,93,127,187,190,73,141,123
109,259,95,126,190,187,75,139,126
110,264,94,127,190,190,75,140,123
111,268,96,123,183,191,73,141,128
112,262,96,125,187,192,75,140,123
113,262,96,126,189,190,78,141,132
114,260,91,127,187,190,73,140,123
115,259,75,123,190,187,80,141,128
116,259,76,125,187,187,74,141,128
117,259,87,127,187,190,74,140,123
118,264,93,127,190,192,76,139,126
119,259,96,126,187,191,77,141,125
120,259,87,132,190,191,74,139,123
121,264,92,126,190,187,80,138,128
122,263,94,128,190,192,75,140,126
123,263,91,127,187,191,73,140,125
124,263,92,126,189,187,75,139,128
125,262,93,127,189,191,73,140,125
126,263,100,129,189,190,74,139,126
127,268,111,127,187,191,74,141,123
128,262,110,132,188,191,74,141,123
129,262,104,126,189,191,80,141,128
130,259,93,123,190,191,73,141,123
131,259,98,130,190,191,74,141,126
132,262,87,123,192,191,77,141,124
133,259,91,127,187,190,76,139,126
134,263,91,128,189,191,75,140,125
135,263,85,125,192,191,73,141,123
136,262,96,126,187,187,74,139,124
137,264,91,126,196,192,75,141,123
138,262,90,125,192,191,73,141,125
139,262,105,127,192,191,75,141,128
140,264,78,127,183,187,77,141,124
141,263,73,126,183,191,76,139,126
142,259,93,127,187,191,80,139,125
143,262,92,125,189,187,80,139,125
144,264,93,128,189,187,75,140,128
145,262,72,127,188,187,76,144,123
146,262,90,127,192,191,75,141,128
147,262,94,132,190,196,75,144,123
148,263,89,127,189,191,74,139,128
149,262,114,126,196,189,74,139,125
150,264,91,123,189,192,75,141,128
151,263,93,125,189,196,75,140,128
152,262,103,125,188,190,75,139,123
153,262,80,126,187,191,74,139,125
154,263,97,126,183,191,74,141,125
155,262,98,126,187,191,73,140,128
156,264,86,127,183,190,75,144,123
157,264,92,127,187,191,74,141,128
158,262,87,132,189,192,75,148,123
159,262,72,127,187,192,75,139,124
160,264,92,128,188,191,75,139,125
161,262,93,127,185,191,73,140,125
162,257,72,127,188,191,74,139,125
163,262,93,128,189,190,74,141,128
164,262,87,125,189,192,74,141,132
165,262,91,125,189,192,75,148,125
166,259,96,126,188,188,75,140,123
167,259,91,127,187,190,75,141,128
168,263,94,133,187,188,79,139,124
169,256,89,125,190,190,72,141,123
170,268,98,128,189,192,73,141,125
171,263,99,125,185,192,76,139,125
172,262,76,127,189,191,73,141,123
173,263,111,125,188,187,73,141,124
174,263,85,127,189,191,75,141,123
175,259,99,127,183,187,73,141,125
176,262,92,127,189,187,75,141,123
177,260,105,127,189,187,80,141,128
178,259,90,123,183,196,80,141,123
179,262,109,126,189,187,75,141,132
180,259,92,127,183,192,78,141,128
181,268,99,127,189,196,75,141,123
182,262,93,127,189,191,80,141,125
183,268,89,127,183,187,75,141,124
184,259,91,132,188,192,76,141,125
185,262,71,127,183,187,73,144,124
186,263,115,128,189,188,74,140,125
187,262,88,128,183,192,73,139,123
188,259,106,128,187,192,75,140,125
189,262,96,126,189,191,75,144,125
190,259,92,132,188,191,73,140,125
191,262,96,128,189,191,73,141,123
192,264,91,127,189,191,75,148,125
193,259,108,128,189,189,76,140,123
194,264,66,126,192,191,75,144,125
195,263,99,125,185,200,75,139,125
196,263,96,123,185,192,74,141,128
197,262,89,125,185,188,76,144,124
198,262,101,128,192,191,74,148,124
199,259,67,125,192,190,75,139,124
200,263,94,123,185,192,75,140,125
201,263,94,126,183,192,75,139,125
