,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,241,87,120,180,172,71,139,97
1,246,91,118,180,180,71,138,100
2,244,91,118,177,174,76,135,98
3,245,99,118,180,171,76,139,100
4,245,87,119,180,171,72,139,97
5,239,88,118,180,171,72,139,97
6,241,84,120,180,176,71,138,97
7,244,94,120,180,176,73,138,97
8,245,96,120,184,174,71,144,98
9,239,103,118,180,171,72,138,97
10,241,93,119,180,171,73,139,98
11,248,84,119,175,172,71,139,98
12,245,89,118,177,174,73,139,98
13,244,91,118,175,174,72,138,104
14,245,93,117,180,174,76,138,98
15,248,75,115,177,174,72,139,100
16,248,93,119,175,176,76,138,98
17,245,101,118,179,172,71,138,100
18,245,90,119,177,173,72,135,98
19,244,77,120,180,176,71,136,98
20,244,92,119,177,174,76,139,104
21,245,99,119,177,174,73,137,104
22,245,90,119,175,172,71,139,98
23,239,87,119,177,173,76,139,98
24,245,90,124,180,176,73,138,97
25,243,96,118,180,171,72,139,98
26,252,73,124,175,174,72,140,97
27,244,87,121,177,171,73,138,100
28,239,91,115,180,174,72,138,98
29,244,83,117,177,174,71,137,98
30,241,104,119,177,171,71,139,100
31,244,93,118,177,173,73,138,101
32,239,87,119,180,172,71,138,98
33,245,99,117,177,173,73,139,98
34,245,90,118,179,173,73,140,99
35,246,90,118,180,171,72,135,98
36,245,95,119,175,174,72,135,99
37,248,74,118,180,176,71,139,98
38,239,93,117,180,171,73,139,99
39,245,88,120,179,174,80,135,98
40,245,96,119,177,173,71,139,100
41,244,95,117,184,173,73,135,98
42,241,87,118,177,173,72,139,104
43,239,87,118,175,174,80,135,99
44,245,87,119,180,171,73,135,98
45,244,97,119,177,174,80,137,97
46,244,77,118,179,172,71,138,97
47,241,101,118,180,171,71,138,98
48,244,80,118,175,174,72,137,97
49,245,91,119,177,173,73,140,97
50,244,89,118,177,171,73,138,100
51,245,98,119,180,174,73,144,97
52,248,91,124,175,173,76,135,98
53,245,95,118,184,171,73,138,97
54,241,90,117,180,174,72,139,104
55,243,96,119,180,171,73,137,97
56,245,89,117,180,171,73,138,98
57,239,78,119,184,171,71,138,98
58,241,103,115,184,174,71,136,98
59,245,81,119,177,173,80,139,100
60,245,93,118,180,171,76,138,98
61,244,89,118,177,174,76,138,97
62,245,92,119,180,173,71,139,98
63,244,90,118,180,171,71,138,98
64,243,87,118,175,174,74,137,97
65,245,103,118,175,174,73,140,97
66,241,92,118,175,173,73,140,97
67,248,96,117,180,174,73,138,98
68,245,91,119,180,180,75,137,97
69,244,77,118,180,173,72,137,97
70,245,95,117,175,173,73,138,102
71,245,93,119,184,171,71,139,98
72,244,90,118,177,172,73,138,100
73,244,99,120,180,172,71,139,98
74,248,89,119,177,174,72,135,98
75,241,90,117,179,173,77,137,97
76,248,91,115,177,171,73,139,98
77,239,92,119,177,171,73,138,97
78,244,96,120,180,171,73,138,97
79,239,102,118,180,176,71,135,98
80,241,87,120,175,174,76,139,101
81,245,90,119,184,171,73,139,97
82,248,99,119,175,176,78,139,104
83,248,96,117,180,171,73,137,98
84,244,80,118,175,176,71,138,97
85,247,95,124,180,173,73,135,98
86,241,96,119,180,171,72,135,98
87,245,90,120,179,172,73,140,98
88,243,89,118,177,171,71,137,99
89,241,87,120,180,174,72,135,98
90,241,89,119,180,174,73,135,98
91,245,87,119,180,171,73,140,97
92,245,77,119,175,173,72,135,98
93,239,94,119,180,171,80,135,98
94,240,93,121,182,173,73,136,98
95,243,86,118,184,173,72,144,96
96,245,87,119,179,172,74,138,96
97,249,89,119,179,172,73,136,102
98,241,87,116,176,175,73,136,98
99,251,88,118,179,173,72,138,96
100,245,89,121,179,172,73,137,99
101,248,87,120,176,182,72,140,97
102,243,92,120,180,174,73,137,96
103,248,95,122,179,172,73,136,106
104,248,79,117,180,173,72,138,106
105,245,79,117,176,177,71,147,100
106,245,83,121,181,173,71,138,100
107,240,72,119,179,168,73,136,103
108,244,77,117,181,173,76,135,102
109,244,86,116,178,169,76,135,103
110,247,85,120,179,169,77,136,98
111,241,87,117,180,173,72,138,96
112,249,88,116,187,171,77,137,105
113,240,93,117,181,173,72,139,98
114,246,90,117,176,173,73,136,106
115,248,88,121,179,172,72,138,96
116,244,91,117,171,174,73,136,98
117,240,93,122,181,173,72,141,97
118,249,96,118,179,172,77,136,98
119,244,91,116,184,171,75,137,102
120,240,89,116,188,171,77,136,102
121,240,89,118,178,173,71,140,97
122,243,89,125,177,178,72,138,99
123,240,78,116,180,171,73,136,98
124,239,81,118,179,173,72,138,96
125,240,94,117,178,173,72,138,96
126,244,90,120,186,177,75,138,97
127,243,91,115,180,171,73,136,97
128,241,91,118,177,171,75,135,98
129,241,96,118,177,173,72,135,98
130,241,91,120,180,173,73,135,98
131,245,87,117,180,171,73,148,97
132,244,105,119,180,173,72,137,98
133,245,103,115,180,172,73,135,97
134,239,104,119,175,180,71,138,98
135,245,101,118,188,174,71,138,98
136,241,89,119,184,176,73,138,97
137,248,94,115,180,180,71,140,99
138,244,90,118,184,171,72,137,97
139,245,96,119,179,174,80,135,98
140,248,93,117,180,171,73,137,97
141,239,92,118,180,171,73,139,98
142,245,91,117,180,173,75,135,98
143,244,91,118,180,171,73,138,98
144,243,103,120,180,174,71,139,98
145,245,94,115,180,180,73,144,97
146,252,96,119,180,180,71,139,98
147,241,87,115,180,173,73,138,98
148,245,89,115,180,176,76,137,97
149,244,96,118,180,176,73,139,98
150,245,106,118,177,173,76,135,98
151,239,91,124,179,180,71,139,98
152,241,89,119,184,173,78,135,98
153,245,76,117,180,180,73,137,97
154,244,92,119,177,171,72,135,98
155,243,91,117,175,173,72,140,97
156,241,97,118,180,173,80,137,97
157,241,89,119,184,173,72,135,98
158,243,87,124,180,174,71,139,99
159,241,96,119,180,171,73,138,98
160,244,100,119,180,176,73,138,97
161,239,87,121,184,173,72,139,97
162,245,89,120,175,174,76,137,98
163,244,89,115,180,172,71,138,97
164,244,91,115,180,172,73,138,104
165,248,80,119,180,174,72,135,98
166,248,92,115,180,173,71,138,98
167,243,89,115,180,180,76,137,97
168,248,96,119,180,173,71,138,98
169,239,91,117,180,172,73,138,96
170,243,92,115,179,172,73,139,104
171,245,92,124,179,176,71,139,101
172,245,106,119,180,172,71,139,98
173,239,90,119,179,173,72,135,98
174,245,87,117,177,173,73,139,98
175,245,94,117,180,172,73,139,98
176,246,80,119,180,171,73,140,98
177,244,100,120,180,176,73,140,98
178,245,91,118,177,173,74,137,98
179,248,91,115,180,176,73,144,97
180,241,94,118,180,176,71,135,98
181,244,89,117,180,172,76,137,97
182,245,107,119,180,176,71,135,98
183,243,90,115,180,176,73,138,100
184,241,92,118,177,174,72,137,98
185,244,87,119,180,171,71,138,98
186,243,92,118,180,174,73,138,98
187,246,90,118,177,171,73,138,98
